Nicaragua,NI-AN,Costa Caribe Norte,Autonomous region,NI
Nicaragua,NI-AS,Costa Caribe Sur,Autonomous region,NI
Nicaragua,NI-BO,Boaco,Department,NI
Nicaragua,NI-CA,Carazo,Department,NI
Nicaragua,NI-CI,Chinandega,Department,NI
Nicaragua,NI-CO,Chontales,Department,NI
Nicaragua,NI-ES,Estelí,Department,NI
Nicaragua,NI-GR,Granada,Department,NI
Nicaragua,NI-JI,Jinotega,Department,NI
Nicaragua,NI-LE,León,Department,NI
Nicaragua,NI-MD,Madriz,Department,NI
Nicaragua,NI-MN,Managua,Department,NI
Nicaragua,NI-MS,Masaya,Department,NI
Nicaragua,NI-MT,Matagalpa,Department,NI
Nicaragua,NI-NS,Nueva Segovia,Department,NI
Nicaragua,NI-RI,Rivas,Department,NI
Nicaragua,NI-SJ,Río San Juan,Department,NI
