GB-ANT
GB-ARD
GB-ARM
GB-BLA
GB-BLY
GB-BMH
GB-BNB
GB-CGV
GB-CKF
GB-CKT
GB-CLR
GB-CSR
GB-DGN
GB-DOW
GB-DRY
GB-EAW
GB-FER
GB-GBN
GB-LMV
GB-LRN
GB-LSB
GB-MFT
GB-MYL
GB-NDN
GB-NTA
GB-NTH
GB-NYM
GB-OMH
GB-POL
GB-STB
GB-UKM
